Date,Open,High,Low,Close,Adj Close,Volume,Stock
2021-12-13,340.679993,343.790009,339.079987,339.399994,336.249298,28899400,MSFT
2021-12-10,334.980011,343,334.790009,342.540009,339.360138,38095700,MSFT
2021-12-09,334.410004,336.48999,332.119995,333.100006,330.007782,22214200,MSFT
2021-12-08,335.309998,335.5,330.799988,334.970001,331.860413,24761000,MSFT
2021-12-07,331.640015,335.799988,330.100006,334.920013,331.810883,31021900,MSFT
2021-12-06,323.950012,327.450012,319.230011,326.190002,323.161926,30032600,MSFT
2021-12-03,331.98999,332.700012,318.029999,323.01001,320.011444,41779300,MSFT
2021-12-02,330.299988,333.48999,327.799988,329.48999,326.431305,30766000,MSFT
2021-12-01,335.130005,339.279999,329.390015,330.079987,327.015778,33337600,MSFT
2021-11-30,335.320007,337.779999,328.98999,330.589996,327.521088,42885600,MSFT
2021-11-29,334.940002,339.029999,334.73999,336.630005,333.505005,28563500,MSFT
2021-11-26,334.350006,337.929993,328.119995,329.679993,326.619507,24217200,MSFT
2021-11-24,336.279999,338.160004,333.910004,337.910004,334.773102,21661300,MSFT
2021-11-23,337.049988,339.450012,333.559998,337.679993,334.545227,30427600,MSFT
2021-11-22,344.619995,349.670013,339.549988,339.829987,336.675262,31031100,MSFT
2021-11-19,342.640015,345.100006,342.200012,343.109985,339.924805,21963400,MSFT
2021-11-18,338.179993,342.450012,337.119995,341.269989,338.101929,22463500,MSFT
2021-11-17,338.940002,342.190002,338,339.119995,335.971893,19053400,MSFT
2021-11-16,335.679993,340.670013,335.51001,339.51001,335.744019,20886800,MSFT
2021-11-15,337.540009,337.880005,334.029999,336.070007,332.342194,16723000,MSFT
2021-11-12,333.920013,337.230011,333.790009,336.720001,332.984985,23831000,MSFT
2021-11-11,331.25,333.769989,330.51001,332.429993,328.742554,16849800,MSFT
2021-11-10,334.570007,334.630005,329.920013,330.799988,327.130615,25500900,MSFT
2021-11-09,337.109985,338.720001,334.529999,335.950012,332.223541,21307400,MSFT
2021-11-08,337.299988,337.649994,334.440002,336.98999,333.251984,20897000,MSFT
2021-11-05,338.51001,338.790009,334.420013,336.059998,332.332275,22570100,MSFT
2021-11-04,332.890015,336.540009,329.51001,336.440002,332.708099,23992200,MSFT
2021-11-03,333.899994,334.899994,330.649994,334,330.295135,21500100,MSFT
2021-11-02,330.309998,333.450012,330,333.130005,329.434814,26487100,MSFT
2021-11-01,331.359985,331.48999,326.369995,329.369995,325.716492,27073200,MSFT
2021-10-29,324.130005,332,323.899994,331.619995,327.941528,34766000,MSFT
2021-10-28,324.329987,324.869995,321.359985,324.350006,320.752197,26297900,MSFT
2021-10-27,316,326.100006,316,323.170013,319.585327,52588700,MSFT
2021-10-26,311,312.399994,308.600006,310.109985,306.670105,28107300,MSFT
2021-10-25,309.359985,309.399994,306.459991,308.130005,304.712097,17554500,MSFT
2021-10-22,310.399994,311.089996,307.799988,309.160004,305.730682,17449300,MSFT
2021-10-21,307.170013,311.019989,306.359985,310.76001,307.312927,16918100,MSFT
2021-10-20,309.209991,309.700012,306.109985,307.410004,304.000122,16537100,MSFT
2021-10-19,308.350006,309.299988,307.220001,308.230011,304.811005,17682100,MSFT
2021-10-18,303.570007,308.209991,302.690002,307.290009,303.881439,22729300,MSFT
2021-10-15,302.339996,304.450012,300.519989,304.209991,300.835602,25384800,MSFT
2021-10-14,299.209991,303.269989,297.829987,302.75,299.391785,27262900,MSFT
2021-10-13,294.910004,297.279999,293.48999,296.309998,293.023224,23416300,MSFT
2021-10-12,295.339996,295.440002,292.350006,292.880005,289.631256,17974100,MSFT
2021-10-11,292.920013,297.970001,292.75,294.230011,290.966339,19298600,MSFT
2021-10-08,296.220001,296.640015,293.76001,294.850006,291.579407,17685700,MSFT
2021-10-07,295.179993,296.640015,293.920013,294.850006,291.579407,20430500,MSFT
